name,link,min_shu,max_shu,min_jrp,max_jrp,heat,species,origin
Naga Bhut Jolokia Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,,1041427,,,,,
Naga Jolokia Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,,855000,,,,,
Birds Eye Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,100000.0,225000,,,,,
Jamaican Hot Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,100000.0,200000,,,,,
Carolina Cayenne Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,100000.0,125000,,,,,
Bahamian Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,95000.0,110000,,,,,
Tabiche Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,85000.0,115000,,,,,
Red Amazon Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,75000.0,80000,,,,,
Thai Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,50000.0,100000,,,,,
Piquin Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,40000.0,58000,,,,,
Super Chile Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,40000.0,50000,,,,,
Santaka Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,40000.0,50000,,,,,
Hot Wax Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,5000.0,10000,,,,,
Santaka Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,2500.0,8000,,,,,
Coronado Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,700.0,1000,,,,,
New Mexico Pepper,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,500.0,1000,,,,,
