name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,link,source_name
Bell Pepper,annuum,mild,Multi-Region,"Mexico, South America",0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/bell-pepper,PepperScale
Gypsy Pepper,annuum,mild,North America,United States,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/gypsy-pepper,PepperScale
Purple Beauty Pepper,annuum,mild,South America,South America,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/purple-beauty-pepper,PepperScale
Melrose Pepper,annuum,mild,North America,United States,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/melrose-pepper,PepperScale
Banana Pepper ,annuum,mild,South America,South America,0.0,500,-8000.0,-5.0,http://www.pepperscale.com/banana-pepper,PepperScale
Trinidad Perfume,chinense,mild,Central America and the Caribbean,Caribbean,0.0,500,-8000.0,-5.0,http://www.pepperscale.com/trinidad-perfume/,PepperScale
Aji Dulce,chinense,mild,Central America and the Caribbean,Caribbean,0.0,1000,-8000.0,-3.0,http://www.pepperscale.com/aji-dulce/,PepperScale
Peperone Di Senise,annuum,mild,Europe,Italy,0.0,0,-8000.0,2500.0,http://www.pepperscale.com/peperone-di-senise/,PepperScale
Tangerine Dream Pepper,annuum,mild,North America,United States,0.0,100,-8000.0,-250.0,https://www.pepperscale.com/tangerine-dream-pepper/,PepperScale
California Wonder Pepper,annuum,mild,North America,United States,0.0,0,-2500.0,-8000.0,https://www.pepperscale.com/california-wonder-pepper/,PepperScale
Carmen Pepper,annuum,mild,Europe,Italy,0.0,0,-2500.0,-8000.0,https://www.pepperscale.com/carmen-pepper/,PepperScale
Medusa Pepper,annuum,mild,Multi-Region,"Mexico, South America",1.0,1000,-8000.0,-3.0,http://www.pepperscale.com/medusa-pepper,PepperScale
Chilly Chili,annuum,mild,North America,United States,1.0,1000,-8000.0,-2.0,https://www.pepperscale.com/chilly-chili/,PepperScale
Shishito Pepper,annuum,mild,Asia,Japan,50.0,200,-160.0,-13.0,http://www.pepperscale.com/shishito-pepper,PepperScale
Pepperoncini,annuum,mild,Europe,Italy,100.0,500,-80.0,-5.0,http://www.pepperscale.com/pepperoncini,PepperScale
Pimento Pepper,annuum,mild,,,100.0,500,-80.0,-5.0,http://www.pepperscale.com/pimento-pepper,PepperScale
Italian Long Hot Pepper,annuum,mild,Europe,Italy,100.0,1000,-80.0,-3.0,http://www.pepperscale.com/italian-long-hot-peppers,PepperScale
Cubanelle Pepper,annuum,mild,Multi-Region,"Italy, Cuba",100.0,1000,-80.0,-3.0,http://www.pepperscale.com/cubanelle-pepper,PepperScale
Mexibell Pepper,annuum,mild,North America,United States,100.0,1000,-3.0,-80.0,https://www.pepperscale.com/mexibell-pepper/,PepperScale
Piquillo Peppers,annuum,mild,Europe,Spain,500.0,1000,-16.0,-3.0,http://www.pepperscale.com/piquillo-peppers,PepperScale
Beaver Dam Pepper,annuum,mild,North America,United States,500.0,1000,-16.0,-3.0,http://www.pepperscale.com/beaver-dam-pepper,PepperScale
Padrón Pepper,annuum,mild,Europe,Spain,500.0,2500,-16.0,0.0,http://www.pepperscale.com/padron-pepper,PepperScale
Espelette Pepper,annuum,mild,Europe,France,500.0,4000,-16.0,0.0,http://www.pepperscale.com/espelette-pepper,PepperScale
Anaheim Pepper,annuum,mild,North America,Mexico,500.0,2500,-16.0,0.0,http://www.pepperscale.com/anaheim-pepper,PepperScale
Santa Fe Grande Pepper,annuum,mild,North America,United States,500.0,700,-3.0,-16.0,https://www.pepperscale.com/santa-fe-grande-pepper/,PepperScale
Cajun Belle Pepper,annuum,medium,North America,United States,500.0,4000,-5.0,0.0,https://www.pepperscale.com/cajun-belle-pepper/,PepperScale
Holy Mole Pepper,annuum,mild,North America,United States,700.0,800,-10.0,-3.0,http://www.pepperscale.com/holy-mole-pepper,PepperScale
Aji Panca,baccatum,mild,South America,Peru,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/aji-panca,PepperScale
Ancho Pepper,annuum,mild,North America,Mexico,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/ancho-pepper,PepperScale
Poblano Pepper,annuum,mild,North America,Mexico,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/poblano-peppers,PepperScale
Guindilla Pepper,annuum,mild,Europe,Spain,1000.0,2000,-8.0,0.0,http://www.pepperscale.com/guindilla-pepper,PepperScale
Chilaca Pepper,annuum,mild,North America,Mexico,1000.0,2500,-8.0,0.0,http://www.pepperscale.com/chilaca-pepper,PepperScale
Pasilla Pepper,annuum,mild,North America,Mexico,1000.0,2500,-8.0,0.0,http://www.pepperscale.com/pasilla-pepper,PepperScale
Cascabel Pepper,annuum,mild,North America,Mexico,1000.0,3000,-8.0,0.0,http://www.pepperscale.com/cascabel-pepper,PepperScale
Hatch Peppers,annuum,medium,North America,United States,1000.0,8000,-3.0,0.0,http://www.pepperscale.com/hatch-peppers,PepperScale
NuMex Centennial,annuum,medium,North America,United States,1000.0,5000,-5.0,0.0,http://www.pepperscale.com/numex-centennial/,PepperScale
Kashmiri Chili,annuum,mild,Asia,India,1000.0,2000,-8.0,0.0,https://www.pepperscale.com/kashmiri-chili/,PepperScale
Peppadew Pepper,baccatum,mild,Africa,Africa,1100.0,1200,-7.0,-2.0,http://www.pepperscale.com/peppadew-pepper,PepperScale
Rocotillo Pepper,baccatum,mild,South America,Peru,1500.0,2500,-5.0,0.0,http://www.pepperscale.com/rocotillo-pepper,PepperScale
Mulato Pepper,annuum,medium,North America,Mexico,2500.0,3000,-3.0,0.0,http://www.pepperscale.com/mulato-pepper,PepperScale
Cherry Bomb Pepper,annuum,medium,North America,United States,2500.0,5000,0.0,0.0,http://www.pepperscale.com/cherry-bomb-pepper,PepperScale
Cowhorn Pepper,annuum,medium,South America,South America,2500.0,5000,0.0,0.0,http://www.pepperscale.com/cowhorn-pepper,PepperScale
Guajillo Pepper,annuum,medium,North America,Mexico,2500.0,5000,0.0,0.0,http://www.pepperscale.com/guajillo-pepper,PepperScale
Jalapeño Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/jalapeno-peppers,PepperScale
Purple Jalapeño Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/purple-jalapeno-pepper,PepperScale
Chipotle Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/chipotle-pepper,PepperScale
Fresno Pepper,annuum,medium,North America,United States,2500.0,10000,0.0,0.0,http://www.pepperscale.com/fresno-pepper,PepperScale
Chimayo Pepper,annuum,medium,North America,United States,4000.0,6000,0.0,0.0,http://www.pepperscale.com/chimayo-pepper,PepperScale
Sandia Pepper,annuum,medium,North America,United States,5000.0,7000,0.0,0.0,http://www.pepperscale.com/sandia-pepper,PepperScale
Puya Pepper,annuum,medium,North America,Mexico,5000.0,8000,0.0,0.0,http://www.pepperscale.com/puya-pepper,PepperScale
Hungarian Wax Pepper,annuum,medium,Europe,Hungary,5000.0,10000,0.0,4.0,http://www.pepperscale.com/hungarian-wax-pepper,PepperScale
Black Hungarian Pepper,annuum,medium,Europe,Hungary,5000.0,10000,0.0,4.0,http://www.pepperscale.com/black-hungarian-pepper,PepperScale
Bishop&#039;s Crown Pepper,baccatum,medium,South America,South America,5000.0,30000,0.0,12.0,http://www.pepperscale.com/bishops-crown-pepper,PepperScale
Bulgarian Carrot Pepper,annuum,medium,Europe,Hungary,5000.0,30000,0.0,12.0,http://www.pepperscale.com/bulgarian-carrot-pepper,PepperScale
Fish Pepper,annuum,medium,North America,United States,5000.0,30000,0.0,12.0,http://www.pepperscale.com/fish-pepper,PepperScale
Hinkelhatz Pepper,annuum,medium,North America,United States,5000.0,30000,0.0,16.0,https://www.pepperscale.com/hinkelhatz-pepper/,PepperScale
Aleppo Pepper,annuum,medium,Middle East,Syria,10000.0,10000,0.0,4.0,http://www.pepperscale.com/aleppo-pepper,PepperScale
Peter Pepper,annuum,medium,North America,United States,10000.0,23000,0.0,9.0,http://www.pepperscale.com/peter-pepper,PepperScale
Serrano Pepper,annuum,medium,North America,United States,10000.0,23000,0.0,9.0,http://www.pepperscale.com/serrano-peppers,PepperScale
Sport Peppers,annuum,medium,North America,Mexico,10000.0,23000,0.0,9.0,http://www.pepperscale.com/sport-peppers,PepperScale
Bolivian Rainbow Pepper,annuum,medium,South America,Bolivia,10000.0,30000,4.0,12.0,http://www.pepperscale.com/bolivian-rainbow-pepper,PepperScale
Black Pearl Pepper,annuum,medium,North America,United States,10000.0,30000,4.0,12.0,http://www.pepperscale.com/black-pearl-pepper,PepperScale
Manzano Pepper,pubescens,medium,South America,South America,12000.0,30000,2.0,12.0,http://www.pepperscale.com/manzano-pepper,PepperScale
Japones Pepper,annuum,medium,Asia,Japan,15000.0,30000,2.0,12.0,http://www.pepperscale.com/japones-pepper,PepperScale
Lemon Drop Pepper,baccatum,medium,South America,Peru,15000.0,30000,2.0,12.0,http://www.pepperscale.com/lemon-drop-pepper,PepperScale
Chile De Àrbol,annuum,medium,North America,Mexico,15000.0,30000,2.0,12.0,http://www.pepperscale.com/chile-de-arbol,PepperScale
Black Cobra Pepper,annuum,medium,South America,South America,20000.0,40000,3.0,16.0,http://www.pepperscale.com/black-cobra-pepper,PepperScale
Jwala Pepper,annuum,medium,Asia,India,20000.0,30000,3.0,12.0,http://www.pepperscale.com/jwala-pepper,PepperScale
NuMex Twilight,annuum,medium,North America,United States,30000.0,50000,4.0,20.0,http://www.pepperscale.com/numex-twilight,PepperScale
Aji Amarillo,baccatum,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-amarillo,PepperScale
Aji Charapita,chinense,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-charapita,PepperScale
Aji Omnicolor,baccatum,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-omnicolor,PepperScale
Tabasco Pepper,frutescens,medium,Central America and the Caribbean,Costa Rica,30000.0,50000,4.0,20.0,http://www.pepperscale.com/tabasco-pepper,PepperScale
Cayenne Pepper,annuum,medium,South America,French Guyana,30000.0,50000,4.0,20.0,http://www.pepperscale.com/cayenne-pepper,PepperScale
Rocoto Pepper,pubescens,medium,South America,South America,30000.0,100000,4.0,40.0,http://www.pepperscale.com/rocoto-pepper,PepperScale
Rooster Spur Pepper,annuum,medium,North America,United States,30000.0,50000,4.0,20.0,https://www.pepperscale.com/rooster-spur-pepper/,PepperScale
Super Chili Pepper,annuum,medium,North America,United States,40000.0,50000,5.0,20.0,http://www.pepperscale.com/super-chili-pepper,PepperScale
Pequin Pepper,annuum,medium,North America,Mexico,40000.0,60000,5.0,24.0,http://www.pepperscale.com/pequin-pepper,PepperScale
Tien Tsin Pepper,annuum,medium,Asia,China,50000.0,75000,6.0,30.0,http://www.pepperscale.com/tien-tsin-pepper,PepperScale
Malagueta Pepper,frutescens,extra hot,South America,Brazil,50000.0,100000,6.0,40.0,http://www.pepperscale.com/malagueta-pepper,PepperScale
Chiltepin Pepper,annuum,extra hot,North America,United States,50000.0,100000,6.0,40.0,http://www.pepperscale.com/chiltepin-pepper,PepperScale
Thai Pepper,annuum,extra hot,Asia,Thailand,50000.0,100000,6.0,40.0,http://www.pepperscale.com/thai-peppers,PepperScale
Byadgi Chili,annuum,extra hot,Asia,India,50000.0,100000,6.0,40.0,https://www.pepperscale.com/byadgi-chili/,PepperScale
Dundicut Pepper,annuum,extra hot,Asia,Pakistan,55000.0,65000,7.0,26.0,http://www.pepperscale.com/dundicut-pepper/,PepperScale
Cheiro Roxa,chinense,extra hot,South America,Brazil,60000.0,80000,8.0,32.0,https://www.pepperscale.com/cheiro-roxa/,PepperScale
Prairie Fire Pepper,annuum,extra hot,North America,Mexico,70000.0,80000,9.0,32.0,http://www.pepperscale.com/prairie-fire-pepper,PepperScale
Charleston Hot Pepper,annuum,extra hot,North America,United States,70000.0,100000,9.0,40.0,http://www.pepperscale.com/charleston-hot-pepper,PepperScale
Siling Labuyo,frutescens,extra hot,Asia,Phillipines,80000.0,100000,10.0,40.0,https://www.pepperscale.com/siling-labuyo/,PepperScale
Datil Pepper,chinense,extra hot,North America,United States,100000.0,300000,12.0,120.0,http://www.pepperscale.com/datil-pepper,PepperScale
Wiri Wiri Pepper,chinense,extra hot,South America,South America,100000.0,350000,12.0,140.0,http://www.pepperscale.com/wiri-wiri-pepper,PepperScale
Scotch Bonnet Pepper,chinense,extra hot,Central America and the Caribbean,Caribbean,100000.0,350000,12.0,140.0,http://www.pepperscale.com/scotch-bonnet-pepper,PepperScale
Habanero Pepper,chinense,extra hot,South America,South America,100000.0,350000,12.0,140.0,http://www.pepperscale.com/habanero-pepper,PepperScale
Peruvian White Habanero,chinense,extra hot,South America,Peru,100000.0,350000,12.0,140.0,http://www.pepperscale.com/peruvian-white-habanero,PepperScale
Goat Pepper,chinense,extra hot,Central America and the Caribbean,Caribbean,100000.0,350000,12.0,140.0,http://www.pepperscale.com/goat-pepper,PepperScale
Madame Jeanette Pepper,chinense,extra hot,South America,South America,125000.0,325000,15.0,130.0,http://www.pepperscale.com/madame-jeanette-pepper,PepperScale
Fatalii Pepper,chinense,extra hot,Africa,Africa,125000.0,400000,14.0,160.0,http://www.pepperscale.com/fatalii-pepper,PepperScale
Devil’s Tongue Pepper,chinense,extra hot,North America,United States,125000.0,325000,16.0,130.0,https://www.pepperscale.com/devils-tongue-pepper/,PepperScale
Aji Chombo,chinense,extra hot,Central America and the Caribbean,Panama,150000.0,350000,18.0,140.0,http://www.pepperscale.com/aji-chombo/,PepperScale
Caribbean Red Habanero,chinense,super hot,North America,Mexico,300000.0,445000,35.0,178.0,http://www.pepperscale.com/caribbean-red-habanero,PepperScale
Red Savina Habanero,chinense,super hot,North America,United States,350000.0,577000,44.0,231.0,http://www.pepperscale.com/red-savina-habanero,PepperScale
Chocolate Habanero,chinense,super hot,Central America and the Caribbean,Jamaica,425000.0,577000,53.0,231.0,http://www.pepperscale.com/chocolate-habanero,PepperScale
Bhut Jolokia Chocolate,chinense,super hot,Asia,India,800000.0,1001304,100.0,400.0,http://www.pepperscale.com/bhut-jolokia-chocolate,PepperScale
Trinidad Scorpion “Butch T”,chinense,super hot,Australia and Oceania,Australia,800000.0,1463700,100.0,585.0,https://www.pepperscale.com/trinidad-scorpion-butch-t/,PepperScale
7 Pot Primo,chinense,super hot,North America,United States,800000.0,1268250,100.0,507.0,https://www.pepperscale.com/7-pot-primo/,PepperScale
