name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,detail_link,source_link,source_name
Bell Pepper,annuum,mild,Multi-Region,"Mexico, South America",0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/bell-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Gypsy Pepper,annuum,mild,North America,United States,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/gypsy-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Purple Beauty Pepper,annuum,mild,South America,South America,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/purple-beauty-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Melrose Pepper,annuum,mild,North America,United States,0.0,0,-8000.0,-2500.0,http://www.pepperscale.com/melrose-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Banana Pepper ,annuum,mild,South America,South America,0.0,500,-8000.0,-5.0,http://www.pepperscale.com/banana-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Trinidad Perfume,chinense,mild,Central America and the Caribbean,Caribbean,0.0,500,-8000.0,-5.0,http://www.pepperscale.com/trinidad-perfume/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Dulce,chinense,mild,Central America and the Caribbean,Caribbean,0.0,1000,-8000.0,-3.0,http://www.pepperscale.com/aji-dulce/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Peperone Di Senise,annuum,mild,Europe,Italy,0.0,0,-8000.0,2500.0,http://www.pepperscale.com/peperone-di-senise/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Tangerine Dream Pepper,annuum,mild,North America,United States,0.0,100,-8000.0,-250.0,https://www.pepperscale.com/tangerine-dream-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
California Wonder Pepper,annuum,mild,North America,United States,0.0,0,-2500.0,-8000.0,https://www.pepperscale.com/california-wonder-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Carmen Pepper,annuum,mild,Europe,Italy,0.0,0,-2500.0,-8000.0,https://www.pepperscale.com/carmen-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Medusa Pepper,annuum,mild,Multi-Region,"Mexico, South America",1.0,1000,-8000.0,-3.0,http://www.pepperscale.com/medusa-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chilly Chili,annuum,mild,North America,United States,1.0,1000,-8000.0,-2.0,https://www.pepperscale.com/chilly-chili/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Shishito Pepper,annuum,mild,Asia,Japan,50.0,200,-160.0,-13.0,http://www.pepperscale.com/shishito-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pepperoncini,annuum,mild,Europe,Italy,100.0,500,-80.0,-5.0,http://www.pepperscale.com/pepperoncini,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pimento Pepper,annuum,mild,,,100.0,500,-80.0,-5.0,http://www.pepperscale.com/pimento-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Italian Long Hot Pepper,annuum,mild,Europe,Italy,100.0,1000,-80.0,-3.0,http://www.pepperscale.com/italian-long-hot-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cubanelle Pepper,annuum,mild,Multi-Region,"Italy, Cuba",100.0,1000,-80.0,-3.0,http://www.pepperscale.com/cubanelle-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Mexibell Pepper,annuum,mild,North America,United States,100.0,1000,-3.0,-80.0,https://www.pepperscale.com/mexibell-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Piquillo Peppers,annuum,mild,Europe,Spain,500.0,1000,-16.0,-3.0,http://www.pepperscale.com/piquillo-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Beaver Dam Pepper,annuum,mild,North America,United States,500.0,1000,-16.0,-3.0,http://www.pepperscale.com/beaver-dam-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Padrón Pepper,annuum,mild,Europe,Spain,500.0,2500,-16.0,0.0,http://www.pepperscale.com/padron-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Espelette Pepper,annuum,mild,Europe,France,500.0,4000,-16.0,0.0,http://www.pepperscale.com/espelette-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Anaheim Pepper,annuum,mild,North America,Mexico,500.0,2500,-16.0,0.0,http://www.pepperscale.com/anaheim-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Santa Fe Grande Pepper,annuum,mild,North America,United States,500.0,700,-3.0,-16.0,https://www.pepperscale.com/santa-fe-grande-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cajun Belle Pepper,annuum,medium,North America,United States,500.0,4000,-5.0,0.0,https://www.pepperscale.com/cajun-belle-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Holy Mole Pepper,annuum,mild,North America,United States,700.0,800,-10.0,-3.0,http://www.pepperscale.com/holy-mole-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Panca,baccatum,mild,South America,Peru,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/aji-panca,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Ancho Pepper,annuum,mild,North America,Mexico,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/ancho-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
